iter	Accuracy	Logloss
401	0.9146666667	0.3131432188
402	0.9146666667	0.3129011961
403	0.9133333333	0.3119833584
404	0.9146666667	0.3115145824
405	0.9146666667	0.310718821
406	0.9146666667	0.3104404214
407	0.9146666667	0.310242807
408	0.916	0.3092280674
409	0.916	0.3086267422
410	0.916	0.3084496768
411	0.916	0.3080176921
412	0.9173333333	0.3075100711
413	0.9186666667	0.3067944078
414	0.9186666667	0.3062208496
415	0.9186666667	0.3056171605
416	0.9186666667	0.304842517
417	0.92	0.3038530328
418	0.9213333333	0.3031391628
419	0.9213333333	0.3031193361
420	0.9213333333	0.3030008901
421	0.924	0.3023540915
422	0.924	0.3022251174
423	0.924	0.3017995478
424	0.924	0.3012486998
425	0.924	0.3010539679
426	0.924	0.3005600772
427	0.9226666667	0.2999441934
428	0.924	0.2993503569
429	0.924	0.2993213972
430	0.924	0.2992281831
431	0.9226666667	0.2988004855
432	0.924	0.2980546575
433	0.924	0.2973969219
434	0.924	0.2972505538
435	0.9253333333	0.2965673665
436	0.924	0.2965134299
437	0.9253333333	0.2964183551
438	0.9253333333	0.2959084189
439	0.9253333333	0.2953086745
440	0.9253333333	0.2948532373
441	0.9253333333	0.2934334816
442	0.9253333333	0.2930977586
443	0.9253333333	0.2926355252
444	0.924	0.2923090199
445	0.9253333333	0.2920073825
446	0.9266666667	0.2913777677
447	0.928	0.2907963224
448	0.928	0.2905384265
449	0.9293333333	0.2901735552
450	0.9293333333	0.2894948896
451	0.9306666667	0.2888410276
452	0.9306666667	0.2881845671
453	0.9306666667	0.2879008215
454	0.9293333333	0.2872167835
455	0.9293333333	0.2868428494
456	0.928	0.2863751156
457	0.9293333333	0.2855857769
458	0.9293333333	0.2850314021
459	0.9306666667	0.2845757183
460	0.932	0.2836831555
461	0.932	0.2835812746
462	0.9306666667	0.2826027821
463	0.932	0.2813289679
464	0.9306666667	0.2811347847
465	0.9306666667	0.2804001665
466	0.9346666667	0.2795532896
467	0.9346666667	0.2789764555
468	0.9346666667	0.2784794469
469	0.9346666667	0.2779307059
470	0.9346666667	0.2777312428
471	0.9346666667	0.2771629973
472	0.9373333333	0.2764390185
473	0.9373333333	0.2763861952
474	0.936	0.2755042288
475	0.936	0.2753582813
476	0.936	0.2747894992
477	0.936	0.2746556375
478	0.9373333333	0.2740358972
479	0.9346666667	0.2729236008
480	0.936	0.2727858539
481	0.9346666667	0.2723479152
482	0.936	0.2720585463
483	0.9386666667	0.2714655354
484	0.9386666667	0.2712268419
485	0.9386666667	0.2705563957
486	0.94	0.2697605636
487	0.94	0.2692356507
488	0.94	0.2691002021
489	0.94	0.2690540397
490	0.94	0.2683710709
491	0.94	0.2676503569
492	0.94	0.2675661579
493	0.94	0.2674439045
494	0.9413333333	0.2667782995
495	0.94	0.2657775928
496	0.9413333333	0.2653013977
497	0.9426666667	0.2647430135
498	0.9453333333	0.2640604033
499	0.9453333333	0.2628354253
500	0.9453333333	0.2622839795
501	0.9466666667	0.2618361912
502	0.9466666667	0.2614723942
503	0.9466666667	0.2612679048
504	0.9466666667	0.2609721672
505	0.9466666667	0.2609292973
506	0.9466666667	0.2603974871
507	0.9466666667	0.2592437821
508	0.9466666667	0.2591660766
509	0.9466666667	0.2590197356
510	0.9466666667	0.2582947427
511	0.9466666667	0.257789515
512	0.9466666667	0.2574150302
513	0.9466666667	0.2572438869
514	0.9466666667	0.2565196777
515	0.948	0.2564473774
516	0.9466666667	0.2563668878
517	0.9506666667	0.2555397347
518	0.9493333333	0.255194189
519	0.9493333333	0.255062201
520	0.9493333333	0.254269142
521	0.9506666667	0.2536611552
522	0.9493333333	0.2530509275
523	0.9506666667	0.2526071594
524	0.9506666667	0.2524912046
525	0.9506666667	0.2523995066
526	0.9506666667	0.2519682596
527	0.952	0.2516013243
528	0.952	0.2514361585
529	0.952	0.2509844399
530	0.952	0.2506475454
531	0.9506666667	0.25032851
532	0.9506666667	0.2501953308
533	0.9506666667	0.2498852688
