iter	Passed	Remaining
696	47503	54727
697	47590	54681
698	47686	54645
699	47768	54592
700	47850	54539
701	47951	54508
702	48032	54455
703	48112	54399
704	48198	54351
705	48279	54297
706	48363	54246
707	48457	54206
708	48537	54151
709	48632	54111
710	48728	54073
711	48811	54021
712	48896	53971
713	48986	53926
714	49069	53873
715	49155	53823
716	49241	53773
717	49323	53719
718	49407	53668
719	49495	53620
720	49573	53560
721	49660	53512
722	49784	53502
723	49876	53458
724	49958	53403
725	50043	53352
726	50125	53297
727	50209	53243
728	50299	53197
729	50377	53137
730	50459	53083
731	50545	53031
732	50630	52978
733	50714	52925
734	50808	52882
735	50892	52828
736	50974	52772
737	51056	52716
738	51143	52666
739	51227	52611
740	51314	52560
741	51399	52507
742	51483	52453
743	51580	52411
744	51666	52359
745	51750	52305
746	51841	52257
747	51931	52208
748	52012	52150
749	52096	52096
750	52169	52030
751	52245	51967
752	52348	51931
753	52434	51878
754	52512	51816
755	52596	51761
756	52679	51704
757	52764	51650
758	52860	51606
759	52950	51557
760	53046	51512
761	53144	51470
762	53224	51411
763	53310	51356
764	53391	51297
765	53474	51240
766	53559	51185
767	53644	51129
768	53741	51086
769	53821	51025
770	53905	50968
771	53991	50914
772	54074	50856
773	54157	50798
774	54241	50741
775	54324	50684
776	54408	50627
777	54499	50576
778	54585	50521
779	54668	50463
780	54755	50409
781	54839	50351
782	54928	50298
783	55016	50244
784	55098	50184
785	55172	50118
786	55258	50062
787	55342	50005
788	55431	49951
789	55515	49894
790	55599	49835
791	55682	49776
792	55766	49719
793	55853	49663
794	55933	49601
795	56025	49550
796	56107	49489
797	56192	49432
798	56278	49375
799	56359	49314
800	56444	49256
801	56533	49202
802	56623	49149
803	56705	49088
804	56789	49029
805	56873	48970
806	56959	48913
807	57047	48857
808	57129	48796
809	57206	48731
810	57300	48680
811	57382	48619
812	57461	48555
813	57549	48500
814	57636	48442
815	57716	48379
816	57812	48330
817	57890	48265
818	57975	48206
819	58066	48153
820	58165	48105
821	58253	48048
822	58338	47989
823	58419	47926
824	58510	47871
825	58602	47818
826	58680	47753
827	58760	47689
828	58844	47628
829	58921	47563
830	59024	47517
831	59122	47468
832	59202	47404
833	59296	47352
834	59390	47299
835	59492	47252
836	59585	47198
837	59704	47165
838	59831	47138
839	59928	47086
840	60031	47040
841	60111	46975
842	60201	46918
843	60298	46867
844	60393	46813
845	60477	46752
846	60561	46690
847	60671	46648
848	60778	46603
849	60864	46543
850	60947	46480
851	61039	46424
852	61142	46376
853	61224	46312
854	61310	46251
855	61407	46199
856	61504	46146
857	61595	46089
858	61677	46024
859	61766	45965
860	61868	45916
861	61957	45857
862	62038	45791
863	62127	45732
864	62211	45669
865	62299	45609
866	62418	45571
867	62512	45515
868	62598	45454
869	62690	45396
870	62774	45332
871	62878	45283
872	62973	45228
873	63057	45164
874	63141	45100
875	63215	45029
876	63291	44960
877	63390	44907
878	63501	44862
879	63596	44806
880	63691	44750
881	63788	44695
882	63872	44631
883	63987	44588
884	64083	44532
885	64168	44469
886	64264	44413
887	64364	44359
888	64458	44301
889	64536	44233
890	64627	44172
891	64709	44107
892	64791	44040
893	64872	43973
894	64952	43906
895	65036	43841
896	65114	43772
897	65194	43704
898	65282	43642
899	65362	43574
900	65445	43509
901	65532	43446
902	65618	43382
