iter	Accuracy	Logloss
348	0.8360888889	0.3990289766
349	0.836	0.3989367625
350	0.836	0.3989199069
351	0.8364	0.3988292667
352	0.8363111111	0.3987765071
353	0.8363111111	0.3987555459
354	0.8363111111	0.3987553066
355	0.8362666667	0.3984881159
356	0.8363555556	0.398443387
357	0.8363555556	0.3984182759
358	0.8363555556	0.3983570222
359	0.8364444444	0.3983524095
360	0.8364444444	0.3982873664
361	0.8364888889	0.3982734172
362	0.8364888889	0.3982673585
363	0.8365333333	0.3982669198
364	0.8364888889	0.3982389406
365	0.8365777778	0.3982267266
366	0.8365777778	0.3982171753
367	0.8365333333	0.3981821135
368	0.8364888889	0.3981456413
369	0.8364888889	0.3981456289
370	0.8364888889	0.3981389409
371	0.8363555556	0.3981130414
372	0.8364	0.3981058857
373	0.8363555556	0.398105619
374	0.8364	0.3980769335
375	0.8364	0.3980767721
376	0.8364	0.3980585713
377	0.8364444444	0.398053341
378	0.8364444444	0.3980533409
379	0.8364444444	0.3980483503
380	0.8364444444	0.3980350003
381	0.8364444444	0.3980185029
382	0.8364	0.3980179435
383	0.8364	0.3980123792
384	0.8364	0.3979982613
385	0.8364	0.3979982594
386	0.8364	0.3979981381
387	0.8364	0.3979966877
388	0.8364444444	0.3979918621
389	0.8364888889	0.3979817696
390	0.8364	0.397952665
391	0.8365333333	0.3979415061
392	0.8365777778	0.3979402712
393	0.8365333333	0.3979379992
394	0.8366222222	0.3979109127
395	0.8366222222	0.3979029995
396	0.8364888889	0.3978315429
397	0.8364888889	0.3977665315
398	0.8364888889	0.397765227
399	0.8364888889	0.3977651747
400	0.8364	0.3975902871
401	0.8364	0.3975899646
402	0.8364	0.3975827986
403	0.8364444444	0.3975675206
404	0.8364444444	0.3975667012
405	0.8364888889	0.3975436559
406	0.8364888889	0.3975420453
407	0.8365777778	0.3974764426
408	0.8364888889	0.3974723973
409	0.8365777778	0.397439567
410	0.8364888889	0.3971717427
411	0.8364888889	0.397168041
412	0.8364888889	0.3971632498
413	0.8365333333	0.3969940682
414	0.8365333333	0.3969940624
415	0.8365777778	0.3969640196
416	0.8366222222	0.396951636
417	0.8366666667	0.3969513717
418	0.8366222222	0.3968984515
419	0.8365777778	0.3968370342
420	0.8365777778	0.3968324596
421	0.8365777778	0.3968324579
422	0.8367111111	0.396758398
423	0.8366666667	0.3967466725
424	0.8366666667	0.3967444702
425	0.8368444444	0.3967052782
426	0.8368444444	0.3966506167
427	0.8368444444	0.3966505303
428	0.8369333333	0.3966503612
429	0.8369333333	0.3966503602
430	0.8369777778	0.3966462553
431	0.8369333333	0.3966406978
432	0.8369777778	0.3966325867
433	0.8369333333	0.3965706295
434	0.8370222222	0.3965499876
435	0.8369333333	0.3964439806
436	0.8369333333	0.3963620002
437	0.8369333333	0.3963587166
438	0.8368888889	0.3963565942
439	0.8369333333	0.3963520315
440	0.8368888889	0.3963519142
441	0.8370222222	0.3963286631
442	0.8370222222	0.3963250566
443	0.8369333333	0.3963205584
444	0.8369777778	0.3963181685
445	0.8369777778	0.3963062119
446	0.8370666667	0.3962059242
447	0.8371555556	0.3961269607
448	0.8371555556	0.3961220244
449	0.8370666667	0.3961009031
450	0.8369777778	0.3959919131
451	0.8369777778	0.3959812787
452	0.8370666667	0.3958042679
453	0.8370666667	0.3957249305
454	0.8370666667	0.3956689427
455	0.8370666667	0.3956671198
456	0.8370666667	0.3956666368
457	0.8372444444	0.3953910933
458	0.8373333333	0.3953645003
459	0.8374222222	0.3953370737
460	0.8374222222	0.395336953
461	0.8374222222	0.3953369459
462	0.8374666667	0.3951560826
463	0.8375111111	0.3951459353
464	0.8376	0.3950701189
465	0.8376444444	0.3950564062
466	0.8374666667	0.3949327808
467	0.8374666667	0.394925341
468	0.8374222222	0.3948554103
469	0.8374222222	0.3948541006
470	0.8374666667	0.3948514605
471	0.8374666667	0.3948408804
472	0.8374666667	0.394707161
473	0.8375111111	0.3946749102
474	0.8375555556	0.3946710861
475	0.8374222222	0.3946583549
476	0.8374666667	0.3946170797
477	0.8374222222	0.3945466792
478	0.8376	0.3945197135
479	0.8375555556	0.394516162
480	0.8376444444	0.3944519168
481	0.8376888889	0.3944397689
482	0.8376888889	0.3943734857
483	0.8376888889	0.3943292798
484	0.8378222222	0.3943249455
485	0.8378666667	0.3943081865
486	0.8379111111	0.394306531
487	0.8378666667	0.3942737638
488	0.8378666667	0.3941184876
489	0.8378222222	0.3940843662
490	0.8378222222	0.3940831714
491	0.8378666667	0.3940802992
492	0.8379555556	0.3940226029
493	0.838	0.3940065984
494	0.8379555556	0.3939372429
495	0.8380444444	0.3939348815
496	0.8380444444	0.3939322277
497	0.8380444444	0.3939302218
498	0.8379555556	0.3938740376
499	0.8378666667	0.3938106863
500	0.838	0.3938038763
501	0.8381777778	0.3936154888
502	0.8380888889	0.3935986458
503	0.8380888889	0.3935397783
504	0.8380888889	0.3935382964
505	0.8380888889	0.3935250524
506	0.8380888889	0.3935027617
507	0.838	0.3934638812
508	0.838	0.3934595903
509	0.8379555556	0.3934125593
510	0.8379555556	0.3933905827
511	0.838	0.3933882142
512	0.8379555556	0.3933775246
513	0.8378222222	0.3932763554
514	0.8378222222	0.3932657722
515	0.8378666667	0.3932545275
516	0.8378222222	0.3932315502
517	0.8377777778	0.3932287396
518	0.8378222222	0.3930898153
519	0.8379111111	0.3929497883
520	0.838	0.3929494865
521	0.838	0.392944935
522	0.8379555556	0.392942661
523	0.8380888889	0.3929233974
524	0.8380888889	0.3928729391
525	0.8380888889	0.3928723314
526	0.8381777778	0.3928452775
527	0.8381333333	0.3928315375
528	0.8380888889	0.3928092974
529	0.8381333333	0.3928089191
530	0.8380444444	0.3928085985
531	0.8381333333	0.3928049247
532	0.8380888889	0.3928034147
533	0.8381333333	0.3927981702
534	0.8381333333	0.3927979178
535	0.8381333333	0.3927779552
536	0.8382222222	0.3927518656
537	0.8380444444	0.3926461323
538	0.838	0.3926255976
539	0.838	0.3925736211
