iter	Passed	Remaining
629	38492	22606
630	38550	22543
631	38618	22486
632	38678	22424
633	38735	22361
634	38794	22299
635	38862	22242
636	38918	22177
637	38972	22113
638	39044	22058
639	39101	21994
640	39160	21932
641	39189	21853
642	39244	21788
643	39310	21730
644	39368	21668
645	39421	21602
646	39482	21541
647	39551	21484
648	39612	21423
649	39667	21359
650	39722	21295
651	39794	21239
652	39842	21172
653	39899	21108
654	39955	21045
655	40016	20984
656	40075	20922
657	40130	20858
658	40188	20795
659	40259	20739
660	40339	20688
661	40398	20626
662	40456	20563
663	40524	20506
664	40549	20426
665	40605	20363
666	40667	20303
667	40757	20256
668	40817	20195
669	40876	20133
670	40937	20072
671	40993	20008
672	41049	19945
673	41117	19887
674	41183	19829
675	41240	19766
676	41299	19704
677	41369	19647
678	41428	19585
679	41484	19522
680	41542	19459
681	41611	19402
682	41668	19339
683	41725	19276
684	41788	19216
685	41854	19157
686	41910	19094
687	41971	19033
688	42067	18988
689	42150	18937
690	42219	18879
691	42278	18817
692	42335	18754
693	42392	18691
694	42457	18632
695	42514	18569
696	42572	18507
697	42623	18441
698	42692	18384
699	42744	18319
700	42800	18255
701	42856	18192
702	42924	18134
703	42985	18073
704	43041	18010
705	43099	17948
706	43167	17889
707	43228	17828
708	43285	17765
709	43346	17705
710	43416	17647
711	43473	17584
712	43530	17522
713	43588	17459
714	43657	17401
715	43714	17339
716	43772	17277
717	43833	17215
718	43896	17155
719	43925	17082
720	43983	17020
721	44037	16956
722	44104	16897
723	44161	16834
724	44215	16771
725	44287	16714
726	44346	16652
727	44402	16589
728	44458	16527
729	44527	16469
730	44585	16406
731	44641	16344
732	44697	16281
733	44769	16224
734	44828	16162
735	44883	16099
736	44939	16036
737	45007	15978
738	45066	15916
739	45125	15854
740	45194	15796
741	45256	15736
742	45316	15674
743	45381	15615
744	45448	15556
745	45484	15486
746	45543	15424
747	45612	15366
748	45671	15305
749	45730	15243
750	45785	15180
751	45852	15121
752	45911	15059
753	45970	14998
754	46028	14936
755	46091	14876
756	46146	14813
757	46202	14750
758	46267	14691
759	46321	14627
760	46381	14566
761	46437	14504
762	46503	14444
763	46561	14382
764	46619	14320
765	46676	14258
766	46740	14198
767	46802	14138
768	46864	14077
769	46923	14016
770	46985	13955
771	47045	13894
772	47108	13833
773	47170	13773
774	47267	13722
775	47346	13666
776	47404	13605
777	47457	13541
778	47526	13483
779	47592	13423
780	47648	13361
781	47706	13299
782	47772	13239
783	47832	13178
784	47892	13117
785	47951	13055
786	48017	12995
787	48054	12928
788	48111	12866
789	48169	12804
790	48229	12743
791	48291	12682
792	48348	12620
793	48378	12551
794	48442	12491
795	48495	12428
796	48550	12366
797	48589	12299
798	48652	12239
799	48709	12177
800	48769	12116
801	48824	12053
802	48888	11993
803	48913	11924
804	48969	11862
805	49030	11801
806	49077	11737
807	49138	11676
808	49167	11608
809	49215	11544
810	49272	11482
811	49303	11415
812	49343	11349
813	49399	11287
814	49457	11226
815	49518	11165
816	49573	11103
817	49632	11043
818	49690	10981
819	49755	10922
820	49810	10860
821	49867	10798
822	49924	10737
823	49991	10677
824	50051	10616
825	50105	10554
826	50159	10492
827	50224	10433
828	50280	10371
829	50333	10309
830	50362	10242
831	50413	10179
832	50477	10119
833	50531	10057
834	50591	9997
835	50646	9935
836	50701	9873
837	50753	9811
838	50815	9751
839	50885	9692
840	50959	9634
841	51028	9575
842	51085	9514
843	51142	9452
844	51199	9391
845	51266	9332
846	51319	9270
847	51372	9208
848	51429	9147
849	51495	9087
850	51554	9026
851	51612	8965
852	51672	8904
853	51733	8844
854	51771	8779
855	51830	8719
856	51915	8662
857	52002	8606
858	52057	8544
859	52099	8481
860	52171	8422
861	52208	8358
862	52276	8298
863	52346	8239
864	52410	8179
865	52467	8118
866	52540	8059
867	52615	8001
868	52674	7940
869	52800	7889
870	52916	7837
871	52996	7779
872	53057	7718
873	53130	7659
874	53202	7600
875	53242	7536
876	53308	7476
877	53373	7416
878	53434	7355
879	53492	7294
880	53558	7234
881	53627	7174
882	53679	7112
883	53749	7053
884	53796	6990
885	53854	6929
886	53926	6870
887	54014	6812
888	54077	6752
889	54145	6692
890	54212	6632
891	54284	6572
892	54343	6511
893	54409	6451
894	54496	6393
895	54561	6333
896	54613	6271
897	54683	6211
898	54753	6151
899	54813	6090
900	54877	6029
901	54931	5968
902	55000	5908
903	55082	5849
904	55143	5788
905	55204	5727
906	55263	5666
907	55323	5605
908	55396	5545
909	55452	5484
910	55507	5422
911	55559	5360
912	55625	5300
